"site","summary.statistic","n_year","flow_metric","current_value","reference_value","deltaH","notes"
"403BA0027","mean",5,"Wet_BFL_Mag_10",NA,NA,0.014,NA
"403BA0027","min",5,"Wet_BFL_Mag_50",0.29075,0.285875,0,"Moderate, 2001"
"403BA0027","median",5,"Wet_BFL_Mag_50",11.02010417,11.02229,0,"Wet, 2005"
"403BA0027","max",5,"Wet_BFL_Mag_50",0.514020833,0.505,0.01,"Wet, 2008"
"403BA0027","mean",5,"Wet_BFL_Mag_50",NA,NA,0.002,NA
"403BA0027","min",5,"Wet_Tim",82,82,0,"Wet, 2005"
"403BA0027","median",5,"Wet_Tim",88,88,0,"Wet, 1995"
"403BA0027","max",5,"Wet_Tim",136,136,0,"Moderate, 2001"
"403BA0027","mean",5,"Wet_Tim",NA,NA,0,NA
"403BA0027","min",3,"DS_Dur_WS",94,94,0,"Dry, 2007"
"403BA0027","median",3,"DS_Dur_WS",118,118,0,"Moderate, 1997"
"403BA0027","max",3,"DS_Dur_WS",136,136,0,"Moderate, 2000"
"403BA0027","mean",3,"DS_Dur_WS",NA,NA,0,NA
"403BA0027","min",3,"DS_Mag_50",0.3715625,0.36785415,0,"Moderate, 2000"
"403BA0027","median",3,"DS_Mag_50",0.4855,0.485583333,0,"Moderate, 1997"
"403BA0027","max",3,"DS_Mag_50",0.61075,0.610875,0,"Dry, 2007"
"403BA0027","mean",3,"DS_Mag_50",NA,NA,0,NA
"403BA0027","min",3,"DS_Mag_90",0.4455625,0.442625,0,"Moderate, 2000"
"403BA0027","median",3,"DS_Mag_90",0.5700041669,0.5701,0,"Moderate, 1997"
"403BA0027","max",3,"DS_Mag_90",0.6938583332,0.694,0,"Dry, 2007"
"403BA0027","mean",3,"DS_Mag_90",NA,NA,0,NA
"403BA0027",NA,23,"Peak_10",346.47434998,346.44887336,0.03,NA
"403BA0027","min",1,"Peak_2",1.625583333,1.625917,0,"NA, NA"
"403BA0027","median",1,"Peak_2",NA,NA,0,NA
"403BA0027","max",1,"Peak_2",1.625583333,1.625917,0,"NA, NA"
"403BA0027","mean",1,"Peak_2",NA,NA,0,NA
"403BA0027",NA,23,"Peak_5",9.3625500002,9.3642,0,NA
"403BA0171","min",9,"DS_Dur_WS",323,324,-1,"Moderate, 1997"
"403BA0171","median",9,"DS_Dur_WS",99,99,0,"Dry, 2007"
"403BA0171","max",9,"DS_Dur_WS",201,152,49,"Wet, 2010"
"403BA0171","mean",9,"DS_Dur_WS",NA,NA,5.33333333333333,NA
"403BA0171","min",9,"DS_Mag_50",21.829458335,21.84927,-0.02,"Wet, 2005"
"403BA0171","median",9,"DS_Mag_50",5.675458333,5.680625,-0.01,"Moderate, 1994"
"403BA0171","max",9,"DS_Mag_50",0.304125,0.267625,0.04,"Wet, 2010"
"403BA0171","mean",9,"DS_Mag_50",NA,NA,0.00777777777777778,NA
"403BA0171","min",9,"DS_Mag_90",8.4448999998,8.4788208331,-0.03,"Moderate, 1997"
"403BA0171","median",9,"DS_Mag_90",8.4448999998,8.4788208331,-0.03,"Moderate, 1997"
"403BA0171","max",9,"DS_Mag_90",0.393333333,0.3292625,0.06,"Wet, 2010"
"403BA0171","mean",9,"DS_Mag_90",NA,NA,0.00111111111111111,NA
"403BA0171","min",21,"DS_Tim",317,389,-72,"Wet, 2010"
"403BA0171","median",21,"DS_Tim",372,376,-4,"Moderate, 1996"
"403BA0171","max",21,"DS_Tim",393,391,2,"Dry, 2012"
"403BA0171","mean",21,"DS_Tim",NA,NA,-5.80952380952381,NA
"403BA0171","min",12,"Peak_Dur_2",1,1,0,"Moderate, 1994"
"403BA0171","median",12,"Peak_Dur_2",29,29,0,"Moderate, 1997"
"403BA0171","max",12,"Peak_Dur_2",264,264,0,"Wet, 1993"
"403BA0171","mean",12,"Peak_Dur_2",NA,NA,0,NA
"403BA0171","min",12,"Peak_Fre_2",1,1,0,"Wet, 1991"
"403BA0171","median",12,"Peak_Fre_2",1,1,0,"Moderate, 2001"
"403BA0171","max",12,"Peak_Fre_2",2,2,0,"Wet, 1998"
"403BA0171","mean",12,"Peak_Fre_2",NA,NA,0,NA
"403BA0171","min",12,"Peak_Tim_2",0,0,0,"Moderate, 1994"
"403BA0171","median",12,"Peak_Tim_2",112,112,0,"Wet, 1998"
"403BA0171","max",12,"Peak_Tim_2",184,184,0,"Wet, 2006"
"403BA0171","mean",12,"Peak_Tim_2",NA,NA,0,NA
"403BA0171","min",11,"SP_Dur",18,18,0,"Wet, 2005"
"403BA0171","median",11,"SP_Dur",22,22,0,"Wet, 2006"
"403BA0171","max",11,"SP_Dur",25,24,1,"Moderate, 1997"
"403BA0171","mean",11,"SP_Dur",NA,NA,0.0909090909090909,NA
"403BA0171","min",21,"SP_Mag",589.5935417,590.1292,-0.54,"Moderate, 2001"
"403BA0171","median",21,"SP_Mag",564.88175,565.3949,-0.51,"Wet, 2005"
"403BA0171","max",21,"SP_Mag",936.5441667,932.9312917,3.61,"Wet, 1998"
"403BA0171","mean",21,"SP_Mag",NA,NA,0.311904761904762,NA
"403BA0171","min",11,"SP_ROC",0.0715018060173438,0.0773457906268815,-0.01,"Moderate, 1997"
"403BA0171","median",11,"SP_ROC",0.0859836799626623,0.0859838943771474,0,"Wet, 2005"
"403BA0171","max",11,"SP_ROC",0.120378326300024,0.120379138168461,0,"Wet, 1992"
"403BA0171","mean",11,"SP_ROC",NA,NA,-0.000909090909090909,NA
"403BA0171","min",21,"SP_Tim",0,0,0,"Moderate, 1994"
"403BA0171","median",21,"SP_Tim",126,126,0,"Wet, 2008"
"403BA0171","max",21,"SP_Tim",43,0,43,"Moderate, 2003"
"403BA0171","mean",21,"SP_Tim",NA,NA,2.85714285714286,NA
"403BA0171","min",11,"Wet_BFL_Dur",27,27,0,"Wet, 1992"
"403BA0171","median",11,"Wet_BFL_Dur",29,29,0,"Moderate, 2001"
"403BA0171","max",11,"Wet_BFL_Dur",31,30,1,"Wet, 1991"
"403BA0171","mean",11,"Wet_BFL_Dur",NA,NA,0.0909090909090909,NA
"403BA0171","min",11,"Wet_BFL_Mag_10",5.9333333335,5.9387916665,-0.01,"Wet, 1998"
"403BA0171","median",11,"Wet_BFL_Mag_10",NA,NA,0.02,NA
"403BA0171","max",11,"Wet_BFL_Mag_10",11.420508336,9.4372333333,1.98,"Wet, 1993"
"403BA0171","mean",11,"Wet_BFL_Mag_10",NA,NA,0.212727272727273,NA
"403BA0171","min",11,"Wet_BFL_Mag_50",83.041875,83.11725,-0.08,"Wet, 1995"
"403BA0171","median",11,"Wet_BFL_Mag_50",NA,NA,-0.02,NA
"403BA0171","max",11,"Wet_BFL_Mag_50",0.13875,0,0.14,"Wet, 1991"
"403BA0171","mean",11,"Wet_BFL_Mag_50",NA,NA,-0.00818181818181818,NA
"403BA0171","min",11,"Wet_Tim",150,151,-1,"Wet, 1991"
"403BA0171","median",11,"Wet_Tim",88,88,0,"Wet, 1993"
"403BA0171","max",11,"Wet_Tim",166,166,0,"Wet, 2006"
"403BA0171","mean",11,"Wet_Tim",NA,NA,-0.0909090909090909,NA
"403BA0171","min",5,"Peak_Dur_5",1,1,0,"Wet, 1992"
"403BA0171","median",5,"Peak_Dur_5",2,2,0,"Wet, 1998"
"403BA0171","max",5,"Peak_Dur_5",6,6,0,"Wet, 2005"
"403BA0171","mean",5,"Peak_Dur_5",NA,NA,0,NA
"403BA0171","min",5,"Peak_Fre_5",1,1,0,"Wet, 1992"
"403BA0171","median",5,"Peak_Fre_5",1,1,0,"Moderate, 2001"
"403BA0171","max",5,"Peak_Fre_5",3,3,0,"Wet, 1995"
"403BA0171","mean",5,"Peak_Fre_5",NA,NA,0,NA
"403BA0171","min",5,"Peak_Tim_5",116,116,0,"Wet, 1995"
"403BA0171","median",5,"Peak_Tim_5",121.5,121.5,0,"Wet, 2005"
"403BA0171","max",5,"Peak_Tim_5",156,156,0,"Moderate, 2001"
"403BA0171","mean",5,"Peak_Tim_5",NA,NA,0,NA
"403BA0171","min",3,"Peak_Dur_10",1,1,0,"Wet, 1998"
"403BA0171","median",3,"Peak_Dur_10",2,2,0,"Wet, 1995"
"403BA0171","max",3,"Peak_Dur_10",2,2,0,"Wet, 2005"
"403BA0171","mean",3,"Peak_Dur_10",NA,NA,0,NA
"403BA0171","min",3,"Peak_Fre_10",1,1,0,"Wet, 1998"
"403BA0171","median",3,"Peak_Fre_10",1,1,0,"Wet, 2005"
"403BA0171","max",3,"Peak_Fre_10",2,2,0,"Wet, 1995"
"403BA0171","mean",3,"Peak_Fre_10",NA,NA,0,NA
"403BA0171","min",3,"Peak_Tim_10",101,101,0,"Wet, 2005"
"403BA0171","median",3,"Peak_Tim_10",131,131,0,"Wet, 1995"
"403BA0171","max",3,"Peak_Tim_10",145,145,0,"Wet, 1998"
"403BA0171","mean",3,"Peak_Tim_10",NA,NA,0,NA
"403BA0171","min",1,"FA_Dur",4,2,2,"Wet, 1998"
"403BA0171","median",1,"FA_Dur",NA,NA,2,NA
"403BA0171","max",1,"FA_Dur",4,2,2,"Wet, 1998"
"403BA0171","mean",1,"FA_Dur",NA,NA,2,NA
"403BA0171","min",1,"FA_Mag",17.7122909354231,17.5955677770325,0.12,"Wet, 1998"
"403BA0171","median",1,"FA_Mag",NA,NA,0.12,NA
"403BA0171","max",1,"FA_Mag",17.7122909354231,17.5955677770325,0.12,"Wet, 1998"
"403BA0171","mean",1,"FA_Mag",NA,NA,0.12,NA
"403BA0171","min",1,"FA_Tim",68,68,0,"Wet, 1998"
"403BA0171","median",1,"FA_Tim",NA,NA,0,NA
"403BA0171","max",1,"FA_Tim",68,68,0,"Wet, 1998"
"403BA0171","mean",1,"FA_Tim",NA,NA,0,NA
"403BA0171",NA,23,"Peak_10",934.8879667,931.59103336,3.3,NA
"403BA0171","min",1,"Peak_2",22.91020833,22.93095833,-0.02,"NA, NA"
"403BA0171","median",1,"Peak_2",NA,NA,-0.02,NA
"403BA0171","max",1,"Peak_2",22.91020833,22.93095833,-0.02,"NA, NA"
"403BA0171","mean",1,"Peak_2",NA,NA,-0.02,NA
"403BA0171",NA,23,"Peak_5",718.73155,717.81246666,0.92,NA
"403BA0960","min",23,"DS_Dur_WS",52,64,-12,"Wet, 2005"
"403BA0960","median",23,"DS_Dur_WS",55,54,1,"Wet, 1992"
"403BA0960","max",23,"DS_Dur_WS",49,20,29,"Wet, 1995"
"403BA0960","mean",23,"DS_Dur_WS",NA,NA,19.3478260869565,NA
"403BA0960","min",23,"DS_Mag_50",1.862145833,2.083708,-0.22,"Wet, 2005"
"403BA0960","median",23,"DS_Mag_50",1.602,1.602,0,"Moderate, 2000"
"403BA0960","max",23,"DS_Mag_50",1.961,1.9635,0,"Wet, 1993"
"403BA0960","mean",23,"DS_Mag_50",NA,NA,-0.00956521739130435,NA
"403BA0960","min",23,"DS_Mag_90",1.609,1.609,0,"Moderate, 1997"
"403BA0960","median",23,"DS_Mag_90",2.602,1.917,0.68,"Wet, 1995"
"403BA0960","max",23,"DS_Mag_90",2.529,1.633,0.9,"Moderate, 1996"
"403BA0960","mean",23,"DS_Mag_90",NA,NA,0.660869565217391,NA
"403BA0960","min",23,"DS_Tim",356,359,-3,"Wet, 1995"
"403BA0960","median",23,"DS_Tim",365,365,0,"Moderate, 2000"
"403BA0960","max",23,"DS_Tim",354,315,39,"Wet, 2005"
"403BA0960","mean",23,"DS_Tim",NA,NA,2,NA
"403BA0960","min",23,"SP_Dur",186,259,-73,"Wet, 1991"
"403BA0960","median",23,"SP_Dur",187,259,-72,"Wet, 2011"
"403BA0960","max",23,"SP_Dur",205,166,39,"Wet, 2005"
"403BA0960","mean",23,"SP_Dur",NA,NA,-14.0869565217391,NA
"403BA0960","min",23,"SP_Mag",5,5,0,"Dry, 2002"
"403BA0960","median",23,"SP_Mag",6.733416667,6.733625,0,"Wet, 1998"
"403BA0960","max",23,"SP_Mag",5.039541667,5,0.04,"Moderate, 2003"
"403BA0960","mean",23,"SP_Mag",NA,NA,0.00826086956521739,NA
"403BA0960","min",23,"SP_ROC",0.218681661980631,0.249895876718034,-0.03,"Moderate, 2001"
"403BA0960","median",23,"SP_ROC",0.000175441458385153,0.00018154615962835,0,"Wet, 1993"
"403BA0960","max",23,"SP_ROC",0.109406623358902,0.000183290025984465,0.11,"Moderate, 2009"
"403BA0960","mean",23,"SP_ROC",NA,NA,0.01,NA
"403BA0960","min",23,"SP_Tim",104,104,0,"Moderate, 2006"
"403BA0960","median",23,"SP_Tim",106,106,0,"Moderate, 2004"
"403BA0960","max",23,"SP_Tim",180,106,74,"Wet, 1991"
"403BA0960","mean",23,"SP_Tim",NA,NA,16.0869565217391,NA
"403BA0960","min",23,"Wet_BFL_Dur",64,91,-27,"Moderate, 2006"
"403BA0960","median",23,"Wet_BFL_Dur",NA,NA,-9,NA
"403BA0960","max",23,"Wet_BFL_Dur",141,93,48,"Wet, 1991"
"403BA0960","mean",23,"Wet_BFL_Dur",NA,NA,-5.30434782608696,NA
"403BA0960","min",23,"Wet_BFL_Mag_10",2.5,3.2,-0.7,"Wet, 2005"
"403BA0960","median",23,"Wet_BFL_Mag_10",2.596,1.7070875,0.89,"Moderate, 1996"
"403BA0960","max",23,"Wet_BFL_Mag_10",2.527,1.631,0.9,"Moderate, 1997"
"403BA0960","mean",23,"Wet_BFL_Mag_10",NA,NA,0.710869565217391,NA
"403BA0960","min",23,"Wet_BFL_Mag_50",5.025291667,5.255125,-0.23,"Wet, 2005"
"403BA0960","median",23,"Wet_BFL_Mag_50",3.2874166665,2.503,0.78,"Moderate, 1996"
"403BA0960","max",23,"Wet_BFL_Mag_50",5.003,2.405,2.6,"Moderate, 2000"
"403BA0960","mean",23,"Wet_BFL_Mag_50",NA,NA,0.96,NA
"403BA0960","min",23,"Wet_Tim",50,55,-5,"Wet, 2005"
"403BA0960","median",23,"Wet_Tim",39,13,26,"Moderate, 1997"
"403BA0960","max",23,"Wet_Tim",40,13,27,"Moderate, 2006"
"403BA0960","mean",23,"Wet_Tim",NA,NA,21.3913043478261,NA
"403BA0960","min",3,"Peak_Dur_10",2,2,0,"Wet, 1995"
"403BA0960","median",3,"Peak_Dur_10",6,6,0,"Wet, 1993"
"403BA0960","max",3,"Peak_Dur_10",9,9,0,"Wet, 2005"
"403BA0960","mean",3,"Peak_Dur_10",NA,NA,0,NA
"403BA0960","min",10,"Peak_Dur_2",3,182,-179,"Wet, 2008"
"403BA0960","median",10,"Peak_Dur_2",6,181,-175,"Moderate, 1997"
"403BA0960","max",10,"Peak_Dur_2",174,173,1,"Wet, 2005"
"403BA0960","mean",10,"Peak_Dur_2",NA,NA,-43.9,NA
"403BA0960","min",5,"Peak_Dur_5",12,12,0,"Wet, 1998"
"403BA0960","median",5,"Peak_Dur_5",55,55,0,"Moderate, 2006"
"403BA0960","max",5,"Peak_Dur_5",173,173,0,"Wet, 2005"
"403BA0960","mean",5,"Peak_Dur_5",NA,NA,0,NA
"403BA0960","min",3,"Peak_Fre_10",1,1,0,"Wet, 1993"
"403BA0960","median",3,"Peak_Fre_10",1,1,0,"Wet, 1995"
"403BA0960","max",3,"Peak_Fre_10",2,2,0,"Wet, 2005"
"403BA0960","mean",3,"Peak_Fre_10",NA,NA,0,NA
"403BA0960","min",10,"Peak_Fre_2",1,1,0,"Dry, 1994"
"403BA0960","median",10,"Peak_Fre_2",1,1,0,"Moderate, 1996"
"403BA0960","max",10,"Peak_Fre_2",3,1,2,"Wet, 1998"
"403BA0960","mean",10,"Peak_Fre_2",NA,NA,0.6,NA
"403BA0960","min",5,"Peak_Fre_5",1,1,0,"Wet, 1998"
"403BA0960","median",5,"Peak_Fre_5",1,1,0,"Wet, 2005"
"403BA0960","max",5,"Peak_Fre_5",2,2,0,"Wet, 1995"
"403BA0960","mean",5,"Peak_Fre_5",NA,NA,0,NA
"403BA0960","min",3,"Peak_Tim_10",122,122,0,"Wet, 2005"
"403BA0960","median",3,"Peak_Tim_10",141,141,0,"Wet, 1993"
"403BA0960","max",3,"Peak_Tim_10",161,161,0,"Wet, 1995"
"403BA0960","mean",3,"Peak_Tim_10",NA,NA,0,NA
"403BA0960","min",10,"Peak_Tim_2",104,130,-26,"Wet, 1993"
"403BA0960","median",10,"Peak_Tim_2",92,92,0,"Dry, 1994"
"403BA0960","max",10,"Peak_Tim_2",145,92,53,"Wet, 1998"
"403BA0960","mean",10,"Peak_Tim_2",NA,NA,4.85,NA
"403BA0960","min",5,"Peak_Tim_5",92,92,0,"Moderate, 2006"
"403BA0960","median",5,"Peak_Tim_5",100,100,0,"Wet, 2005"
"403BA0960","max",5,"Peak_Tim_5",182,182,0,"Wet, 1998"
"403BA0960","mean",5,"Peak_Tim_5",NA,NA,0,NA
"403BA0960",NA,23,"Peak_10",13.2567166694,13.238591664,0.02,NA
"403BA0960","min",1,"Peak_2",5.024,5.005,0.02,"NA, NA"
"403BA0960","median",1,"Peak_2",NA,NA,0.02,NA
"403BA0960","max",1,"Peak_2",5.024,5.005,0.02,"NA, NA"
"403BA0960","mean",1,"Peak_2",NA,NA,0.02,NA
"403BA0960",NA,23,"Peak_5",5.1612250002,5.161275,0,NA
"403CE0188","min",16,"DS_Dur_WS",197,284,-87,"Dry, 2007"
"403CE0188","median",16,"DS_Dur_WS",188,227,-39,"Dry, 2002"
"403CE0188","max",16,"DS_Dur_WS",262,233,29,"Moderate, 2000"
"403CE0188","mean",16,"DS_Dur_WS",NA,NA,-6.875,NA
"403CE0188","min",16,"DS_Mag_50",3.4034166665,3.4199375,-0.02,"Moderate, 1991"
"403CE0188","median",16,"DS_Mag_50",3.4034166665,3.4199375,-0.02,"Moderate, 1991"
"403CE0188","max",16,"DS_Mag_50",1.389833333,1.055458,0.33,"Moderate, 2000"
"403CE0188","mean",16,"DS_Mag_50",NA,NA,0.09625,NA
"403CE0188","min",16,"DS_Mag_90",26.052287497,26.178996,-0.13,"Wet, 2005"
"403CE0188","median",16,"DS_Mag_90",NA,NA,0.135,NA
"403CE0188","max",16,"DS_Mag_90",7.0396791667,4.659092,2.38,"Moderate, 2000"
"403CE0188","mean",16,"DS_Mag_90",NA,NA,0.258125,NA
"403CE0188","min",20,"DS_Tim",193,222,-29,"Moderate, 2000"
"403CE0188","median",20,"DS_Tim",NA,NA,-0.5,NA
"403CE0188","max",20,"DS_Tim",251,164,87,"Dry, 2007"
"403CE0188","mean",20,"DS_Tim",NA,NA,4.55,NA
"403CE0188","min",3,"Peak_Dur_10",1,1,0,"Moderate, 1991"
"403CE0188","median",3,"Peak_Dur_10",1,1,0,"Wet, 1995"
"403CE0188","max",3,"Peak_Dur_10",1,1,0,"Wet, 2005"
"403CE0188","mean",3,"Peak_Dur_10",NA,NA,0,NA
"403CE0188","min",12,"Peak_Dur_2",1,1,0,"Moderate, 1994"
"403CE0188","median",12,"Peak_Dur_2",2,2,0,"Wet, 2008"
"403CE0188","max",12,"Peak_Dur_2",10,10,0,"Wet, 1998"
"403CE0188","mean",12,"Peak_Dur_2",NA,NA,0,NA
"403CE0188","min",5,"Peak_Dur_5",1,1,0,"Moderate, 1991"
"403CE0188","median",5,"Peak_Dur_5",1,1,0,"Wet, 1992"
"403CE0188","max",5,"Peak_Dur_5",2,2,0,"Wet, 2005"
"403CE0188","mean",5,"Peak_Dur_5",NA,NA,0,NA
"403CE0188","min",3,"Peak_Fre_10",1,1,0,"Moderate, 1991"
"403CE0188","median",3,"Peak_Fre_10",1,1,0,"Wet, 1995"
"403CE0188","max",3,"Peak_Fre_10",1,1,0,"Wet, 2005"
"403CE0188","mean",3,"Peak_Fre_10",NA,NA,0,NA
"403CE0188","min",12,"Peak_Fre_2",1,1,0,"Moderate, 1994"
"403CE0188","median",12,"Peak_Fre_2",2,2,0,"Wet, 2001"
"403CE0188","max",12,"Peak_Fre_2",6,6,0,"Wet, 1998"
"403CE0188","mean",12,"Peak_Fre_2",NA,NA,0,NA
"403CE0188","min",5,"Peak_Fre_5",1,1,0,"Moderate, 1991"
"403CE0188","median",5,"Peak_Fre_5",1,1,0,"Wet, 1992"
"403CE0188","max",5,"Peak_Fre_5",2,2,0,"Wet, 1995"
"403CE0188","mean",5,"Peak_Fre_5",NA,NA,0,NA
"403CE0188","min",3,"Peak_Tim_10",100,100,0,"Wet, 2005"
"403CE0188","median",3,"Peak_Tim_10",101,101,0,"Wet, 1995"
"403CE0188","max",3,"Peak_Tim_10",151,151,0,"Moderate, 1991"
"403CE0188","mean",3,"Peak_Tim_10",NA,NA,0,NA
"403CE0188","min",12,"Peak_Tim_2",100,100,0,"Wet, 2005"
"403CE0188","median",12,"Peak_Tim_2",136,136,0,"Wet, 1998"
"403CE0188","max",12,"Peak_Tim_2",165,165,0,"Moderate, 2003"
"403CE0188","mean",12,"Peak_Tim_2",NA,NA,0,NA
"403CE0188","min",5,"Peak_Tim_5",100,100,0,"Wet, 2005"
"403CE0188","median",5,"Peak_Tim_5",125,125,0,"Wet, 1998"
"403CE0188","max",5,"Peak_Tim_5",151,151,0,"Moderate, 1991"
"403CE0188","mean",5,"Peak_Tim_5",NA,NA,0,NA
"403CE0188","min",16,"SP_Dur",20,30,-10,"Moderate, 2003"
"403CE0188","median",16,"SP_Dur",20,27,-7,"Moderate, 1994"
"403CE0188","max",16,"SP_Dur",53,53,0,"Moderate, 1991"
"403CE0188","mean",16,"SP_Dur",NA,NA,-2.25,NA
"403CE0188","min",20,"SP_Mag",21.042875,370.3569,-349.31,"Moderate, 2000"
"403CE0188","median",20,"SP_Mag",NA,NA,1.88,NA
"403CE0188","max",20,"SP_Mag",773.393,760.9456,12.45,"Moderate, 2003"
"403CE0188","mean",20,"SP_Mag",NA,NA,-14.233,NA
"403CE0188","min",16,"SP_ROC",0.0158865926198778,0.0158847495050737,0,"Moderate, 2010"
"403CE0188","median",16,"SP_ROC",0.0200254450869304,0.0200253786488858,0,"Moderate, 1997"
"403CE0188","max",16,"SP_ROC",0.10798395200483,0.0656341041987084,0.04,"Moderate, 1994"
"403CE0188","mean",16,"SP_ROC",NA,NA,0.006875,NA
"403CE0188","min",19,"SP_Tim",122,122,0,"Moderate, 1997"
"403CE0188","median",19,"SP_Tim",169,169,0,"Moderate, 2003"
"403CE0188","max",19,"SP_Tim",205,0,205,"Dry, 2007"
"403CE0188","mean",19,"SP_Tim",NA,NA,30.0526315789474,NA
"403CE0188","min",16,"Wet_BFL_Dur",27,27,0,"Wet, 2006"
"403CE0188","median",16,"Wet_BFL_Dur",70,70,0,"Wet, 2005"
"403CE0188","max",16,"Wet_BFL_Dur",31,25,6,"Moderate, 1994"
"403CE0188","mean",16,"Wet_BFL_Dur",NA,NA,0.8125,NA
"403CE0188","min",16,"Wet_BFL_Mag_10",0,0,0,"Moderate, 1991"
"403CE0188","median",16,"Wet_BFL_Mag_10",0.162575,0.16335832,0,"Wet, 2006"
"403CE0188","max",16,"Wet_BFL_Mag_10",6.810625,5.59325,1.22,"Wet, 1992"
"403CE0188","mean",16,"Wet_BFL_Mag_10",NA,NA,0.15625,NA
"403CE0188","min",16,"Wet_BFL_Mag_50",85.6664375,86.65925,-0.99,"Wet, 1993"
"403CE0188","median",16,"Wet_BFL_Mag_50",NA,NA,0.015,NA
"403CE0188","max",16,"Wet_BFL_Mag_50",30.90375,27.82947917,3.07,"Moderate, 1991"
"403CE0188","mean",16,"Wet_BFL_Mag_50",NA,NA,0.203125,NA
"403CE0188","min",17,"Wet_Tim",115,121,-6,"Moderate, 1994"
"403CE0188","median",17,"Wet_Tim",127,128,-1,"Dry, 2004"
"403CE0188","max",17,"Wet_Tim",164,164,0,"Wet, 2006"
"403CE0188","mean",17,"Wet_Tim",NA,NA,-0.823529411764706,NA
"403CE0188","min",2,"FA_Dur",2,2,0,"Wet, 1998"
"403CE0188","median",2,"FA_Dur",NA,NA,1,NA
"403CE0188","max",2,"FA_Dur",4,2,2,"Wet, 2005"
"403CE0188","mean",2,"FA_Dur",NA,NA,1,NA
"403CE0188","min",2,"FA_Mag",8.26291223809116,15.0890585875348,-6.83,"Wet, 2005"
"403CE0188","median",2,"FA_Mag",NA,NA,1.895,NA
"403CE0188","max",2,"FA_Mag",1025.439061363,1014.82291833691,10.62,"Wet, 1998"
"403CE0188","mean",2,"FA_Mag",NA,NA,1.895,NA
"403CE0188","min",2,"FA_Tim",19,26,-7,"Wet, 2005"
"403CE0188","median",2,"FA_Tim",NA,NA,-3.5,NA
"403CE0188","max",2,"FA_Tim",66,66,0,"Wet, 1998"
"403CE0188","mean",2,"FA_Tim",NA,NA,-3.5,NA
"403CE0188",NA,23,"Peak_10",2585.4349334,2578.4494166,6.99,NA
"403CE0188","min",1,"Peak_2",548.6818333,537.6907083,10.99,"NA, NA"
"403CE0188","median",1,"Peak_2",NA,NA,10.99,NA
"403CE0188","max",1,"Peak_2",548.6818333,537.6907083,10.99,"NA, NA"
"403CE0188","mean",1,"Peak_2",NA,NA,10.99,NA
"403CE0188",NA,23,"Peak_5",1830.9019084,1825.8078498,5.09,NA
"403S00640","min",16,"DS_Dur_WS",185,202,-17,"Dry, 2012"
"403S00640","median",16,"DS_Dur_WS",102,104,-2,"Dry, 2007"
"403S00640","max",16,"DS_Dur_WS",128,115,13,"Dry, 2004"
"403S00640","mean",16,"DS_Dur_WS",NA,NA,0.1875,NA
"403S00640","min",16,"DS_Mag_50",12.275208335,12.31204,-0.04,"Dry, 2007"
"403S00640","median",16,"DS_Mag_50",9.544125,9.5773125,-0.03,"Moderate, 1996"
"403S00640","max",16,"DS_Mag_50",0.413041667,0.37775,0.04,"Wet, 1991"
"403S00640","mean",16,"DS_Mag_50",NA,NA,-0.008125,NA
"403S00640","min",16,"DS_Mag_90",7.5271791669,7.58895,-0.06,"Dry, 2004"
"403S00640","median",16,"DS_Mag_90",4.2479750002,4.2475584,0,"Dry, 2002"
"403S00640","max",16,"DS_Mag_90",4.7763874999,4.6503918,0.13,"Wet, 2005"
"403S00640","mean",16,"DS_Mag_90",NA,NA,0.010625,NA
"403S00640","min",21,"DS_Tim",316,330,-14,"Dry, 2004"
"403S00640","median",21,"DS_Tim",274,275,-1,"Moderate, 2003"
"403S00640","max",21,"DS_Tim",201,184,17,"Dry, 2012"
"403S00640","mean",21,"DS_Tim",NA,NA,-0.523809523809524,NA
"403S00640","min",12,"Peak_Dur_2",135,144,-9,"Wet, 1995"
"403S00640","median",12,"Peak_Dur_2",NA,NA,-4.5,NA
"403S00640","max",12,"Peak_Dur_2",1,1,0,"Moderate, 2006"
"403S00640","mean",12,"Peak_Dur_2",NA,NA,-5,NA
"403S00640","min",5,"Peak_Dur_5",21,25,-4,"Wet, 1995"
"403S00640","median",5,"Peak_Dur_5",NA,NA,-3,NA
"403S00640","max",5,"Peak_Dur_5",1,1,0,"Wet, 1991"
"403S00640","mean",5,"Peak_Dur_5",NA,NA,-2.6,NA
"403S00640","min",12,"Peak_Fre_2",1,1,0,"Wet, 1991"
"403S00640","median",12,"Peak_Fre_2",1,1,0,"Wet, 1998"
"403S00640","max",12,"Peak_Fre_2",2,1,1,"Wet, 2011"
"403S00640","mean",12,"Peak_Fre_2",NA,NA,0.166666666666667,NA
"403S00640","min",5,"Peak_Fre_5",1,1,0,"Wet, 1991"
"403S00640","median",5,"Peak_Fre_5",1,1,0,"Wet, 1998"
"403S00640","max",5,"Peak_Fre_5",3,3,0,"Wet, 1993"
"403S00640","mean",5,"Peak_Fre_5",NA,NA,0,NA
"403S00640","min",12,"Peak_Tim_2",141,147,-6,"Moderate, 2001"
"403S00640","median",12,"Peak_Tim_2",125,126,-1,"Wet, 1998"
"403S00640","max",12,"Peak_Tim_2",159,157,2,"Moderate, 2000"
"403S00640","mean",12,"Peak_Tim_2",NA,NA,-0.5,NA
"403S00640","min",5,"Peak_Tim_5",108,108,0,"Wet, 1995"
