"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","Type","Type","Means","Type.null","Means.null","ASCI","ASCI.null"
"105FC1297_7.22.14_1",10,9.48912422983914,1.05383803160194,10,8.67479674796748,1.15276476101218,0.151095042264698,0.135974459439849,"other",NA,0.973744104948023,NA,0.973744104948023,1.01379106827498,1.0632544329801
"105FCA116_7.16.13_1",6,8.48488324254305,0.707139960384617,6,8.67479674796748,0.69165885660731,0.287578859930144,0.296029547553093,"rc","Reference",0.715592139412891,"Reference",0.715592139412891,0.711366049898754,0.7036254980101
"105FS0416_9.24.13_1",10,7.59675045042268,1.31635230948564,9,8.67479674796748,1.03748828491097,0.136573485902881,0.148727384237964,"rc","Reference",1.03720031077407,"Reference",1.03720031077407,1.17677631012985,1.03734429784252
"105FS0425_8.10.11_1",5,7.66289480440733,0.652494928825623,4,8.67479674796748,0.461105904404874,0.354938441950803,0.449219585204191,"rc","Reference",0.842960261180436,"Reference",0.842960261180436,0.74772759500303,0.652033082792655
"105FS0428_8.3.11_1",7,8.33223742218966,0.840110482372746,7,8.67479674796748,0.806935332708529,0.246230545108795,0.250345781466113,"rc","Reference",0.884369557800082,"Reference",0.884369557800082,0.862240020086414,0.845652445254305
"105NWC151_6.26.13_1",16,14.5436529028309,1.10013626610173,11,8.67479674796748,1.2680412371134,0.181044166073143,0.118181818181818,"rc","Reference",1.03098461694162,"Reference",1.03098461694162,1.06556044152167,1.14951292702751
"105PS0028_8.12.08_1",6,9.45176268165079,0.634802227064812,8,8.67479674796748,0.922211808809747,0.31678073577527,0.223468226881196,"other","Intermediate",0.899628447866646,"Intermediate",0.899628447866646,0.767215337465729,0.910920128338196
"105PS0028_8.26.08_1",12,9.45176268165079,1.26960445412962,11,8.67479674796748,1.2680412371134,0.118789180924927,0.118181818181818,"int","Intermediate",0.99410660971133,"Intermediate",0.99410660971133,1.13185553192048,1.13107392341237
"105PS0043_9.17.08_1",9,8.51708371535225,1.05669972267353,8,8.67479674796748,0.922211808809747,0.186873869769152,0.178612059158134,"rc","Reference",0.910677709711696,"Reference",0.910677709711696,0.983688716192613,0.916444759260721
"105PS0067_8.24.09_1",6,8.81926031988413,0.680329163940455,6,8.67479674796748,0.69165885660731,0.28624279124643,0.315974145891043,"other","Intermediate",1.20340867601001,"Intermediate",1.20340867601001,0.941868919975232,0.94753376630866
"105PS0067_8.24.09_2",7,8.81926031988413,0.793717357930531,7,8.67479674796748,0.806935332708529,0.217938376402077,0.243430152143845,"other","Intermediate",1.07949051663,"Intermediate",1.07949051663,0.936603937280265,0.943212924669264
"105PS0067_9.15.09_1",8,8.81926031988413,0.907105551920607,8,8.67479674796748,0.922211808809747,0.193224607708286,0.223468226881196,"int","Intermediate",0.959872184902715,"Intermediate",0.959872184902715,0.933488868411661,0.941041996856231
"105PS0069_8.18.09_1",8,7.9294166599863,1.00890145429863,7,8.67479674796748,0.806935332708529,0.147704439358411,0.203665283540802,"int","Intermediate",1.13756460534584,"Intermediate",1.13756460534584,1.07323302982224,0.972249969027184
"105PS0083_9.8.09_1",10,8.39441239318925,1.19126861197735,11,8.67479674796748,1.2680412371134,0.149050280322671,0.118181818181818,"rc","Reference",1.08331844602335,"Reference",1.08331844602335,1.13729352900035,1.17567984156838
"105PS0090_8.25.09_1",8,7.72332148520741,1.03582377288353,8,8.67479674796748,0.922211808809747,0.164409646582726,0.182837640175524,"other","Reference",1.32909438358007,"Reference",1.32909438358007,1.1824590782318,1.12565309619491
"105PS0090_8.7.12_1",10,7.72332148520741,1.29477971610442,8,8.67479674796748,0.922211808809747,0.128456650560268,0.182837640175524,"rv","Reference",0.890311601569855,"Reference",0.890311601569855,1.09254565883714,0.906261705189801
"105PS0092_8.11.08_1",13,10.361217053809,1.25467885987592,10,8.67479674796748,1.15276476101218,0.112955713741838,0.135974459439849,"int","Intermediate",1.02453565067954,"Intermediate",1.02453565067954,1.13960725527773,1.08865020584586
"105PS0097_9.8.09_1",8,8.61254295481545,0.928877805541398,8,8.67479674796748,0.922211808809747,0.226004069154059,0.223143182187551,"other","Reference",0.911431287020092,"Reference",0.911431287020092,0.920154546280745,0.91682154791492
"105PS0097_9.8.09_2",10,8.61254295481545,1.16109725692675,10,8.67479674796748,1.15276476101218,0.142612029753807,0.134523291249456,"other","Reference",0.954237755142229,"Reference",0.954237755142229,1.05766750603449,1.0535012580772
"105PS0107_9.14.09_1",9,9.63001685418324,0.934577803577825,7,8.67479674796748,0.806935332708529,0.242009680179777,0.25103734439834,"int","Intermediate",0.903655082870839,"Intermediate",0.903655082870839,0.919116443224332,0.855295207789684
"105PS0129_8.11.10_1",11,9.17899161942708,1.19838871807212,10,8.67479674796748,1.15276476101218,0.150768354411792,0.135974459439849,"int","Intermediate",1.04359263492669,"Intermediate",1.04359263492669,1.1209906764994,1.09817869796944
"105PS0129_8.11.10_2",10,9.17899161942708,1.08944428915648,10,8.67479674796748,1.15276476101218,0.163988501920164,0.135974459439849,"other","Intermediate",1.13570834570409,"Intermediate",1.13570834570409,1.11257631743028,1.14423655335814
"105PS0149_8.29.12_1",10,8.78619581830653,1.1381490017744,9,8.67479674796748,1.03748828491097,0.152856412578679,0.16590003066544,"int","Intermediate",1.29494169204087,"Intermediate",1.29494169204087,1.21654534690764,1.16621498847592
"105PS0154_8.9.11_1",9,7.66953171726435,1.17347451341009,9,8.67479674796748,1.03748828491097,0.155900594706421,0.164980067463968,"rc","Reference",1.07057976226018,"Reference",1.07057976226018,1.12202713783513,1.05403402358557
"105PS0154_8.9.11_2",10,8.12797178857631,1.23031923093714,8,8.67479674796748,0.922211808809747,0.169494914157941,0.180237282626361,"other","Reference",1.06553064811253,"Reference",1.06553064811253,1.14792493952483,0.993871228461138
"105PS0188_8.26.08_1",11,8.89014503856926,1.23732514512162,11,8.67479674796748,1.2680412371134,0.106075393484537,0.118181818181818,"str","Stressed",0.989706687811568,"Stressed",0.989706687811568,1.11351591646659,1.12887396246248
"105PS0188_8.26.08_2",9,8.89014503856926,1.01235693691769,9,8.67479674796748,1.03748828491097,0.151480968140417,0.157927016252683,"other","Stressed",1.02371693346989,"Stressed",1.02371693346989,1.01803693519379,1.03060260919043
